產品編號,產品名稱,是否為國外產品,價格,活動類型,地點／景點,標籤
24NZN21NZD-T,紐西蘭旅遊｜紐航旗艦·保住隱士·但尼丁尋找黃眼企鵝·得獎酒莊·彩色地熱·藍光螢火蟲·美食美酒·慢遊南北島10天(直飛),True,131800.0,"海島旅遊, 美食",,", 海島旅遊, 美食"
24SG909PR6-T,《樂遊推薦》戀上關島六天四夜(魚眼公園晚餐秀．PIC一日遊),True,34500.0,海島旅遊,,", 海島旅遊"
25XM122EK-T,"賀歲折5,000》加贈小費》經典埃及旅遊│神秘金字塔‧大埃及博物館‧阿布辛貝神殿‧尼羅河遊輪‧紅海之旅10日(一段飛機)",True,139900.0,文化歷史,"埃及, 尼羅河, 紅海, 金字塔, 阿布辛貝","埃及, 尼羅河, 文化歷史, 紅海, 金字塔, 阿布辛貝"
25EI109BRB-T,"特選義大利│比薩斜塔登頂,五鄉地火車巡禮,童話天空之城,漫步威尼斯,夜泊托斯卡尼莊園,七大世界遺產,時尚購物10日",True,78900.0,"文化歷史, 火車旅遊, 購物","威尼斯, 尼斯, 義大, 義大利","威尼斯, 尼斯, 文化歷史, 火車旅遊, 義大, 義大利, 購物"
24JHN06ITH-ZP,特選北海道旅遊｜洞爺湖.函館纜車.海洋公園.企鵝遊行.小樽銀鐘咖啡館.三大螃蟹五日｜保住一晚溫泉,True,29900.0,"海島旅遊, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽, 海洋公園","函館, 北海道, 小樽, 海島旅遊, 海洋公園, 溫泉之旅, 美食, 自然景觀"
221031002,高鐵自由行-台南私人包車一日遊,False,0.0,其他,,", 其他"
24JH914BRD-T,連休北海道旅遊｜北海道神宮.洞爺湖展望台.昭和新山.小樽音樂盒堂.溫泉美食五日｜保住一晚五星,True,37900.0,"溫泉之旅, 美食, 自然景觀, 豪華","北海道, 北海道神宮, 小樽, 小樽音樂盒堂","北海道, 北海道神宮, 小樽, 小樽音樂盒堂, 溫泉之旅, 美食, 自然景觀, 豪華"
24JHO09JX-T,連休北海道旅遊｜北海道神宮.洞爺湖展望台.昭和新山.小樽音樂盒堂.溫泉美食五日｜保住一晚五星,True,45900.0,"溫泉之旅, 美食, 自然景觀, 豪華","北海道, 北海道神宮, 小樽, 小樽音樂盒堂","北海道, 北海道神宮, 小樽, 小樽音樂盒堂, 溫泉之旅, 美食, 自然景觀, 豪華"
24JON17ODD-ZP,限定日本沖繩旅遊｜全程無自理餐｜沖繩古宇利～跨海大橋．萬座毛．時尚購物中心．暢遊美麗海．玉泉洞四日｜保住一晚國際品牌飯店,True,21888.0,購物,"時尚購物中心, 沖繩, 玉泉洞, 萬座毛, 跨海大橋","時尚購物中心, 沖繩, 玉泉洞, 萬座毛, 購物, 跨海大橋"
24JH924TRA-ZP,北海道旅遊｜花戀北海道.夏季薰衣六大體驗.愛奴火祭.銀河流星瀑布.旭山動物園.小樽.三大蟹六日｜三晚溫泉,True,39888.0,"溫泉之旅, 自然景觀, 親子旅遊","北海道, 小樽, 旭山動物園","北海道, 小樽, 旭山動物園, 溫泉之旅, 自然景觀, 親子旅遊"
24JH901IT8-ZP,秒殺北海道｜擁抱積丹藍海景.浪漫小樽.函館夜景.洞爺湖.三大螃蟹吃到飽.雙溫泉五日,True,22888.0,"夜間活動, 婚禮蜜月, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 婚禮蜜月, 小樽, 溫泉之旅, 美食, 自然景觀"
24JHO05JX-T,限定PLUS北海道旅遊｜全程無自理餐.升等螃蟹宴席料理.函館纜車.小樽漫遊.溫泉美食千千五日,True,39888.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽","函館, 北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
24NZO07CIA-T,紐西蘭旅遊｜前十名扣三千｜華航尊爵·升等五星·北方觀景火車·威靈頓電動船·小富士山·天空纜車·農莊住宿·深度純北島10日,True,109800.0,"海島旅遊, 火車旅遊, 自然景觀, 豪華",富士,"富士, 海島旅遊, 火車旅遊, 自然景觀, 豪華"
24JX916BRB-T,旅展優惠限量搶｜京阪神三都.嵐山渡月橋.有馬溫泉.日本環球影城.梅田空中庭園展望台五日｜二晚環球影城旁飯店,True,34888.0,"主題樂園, 溫泉之旅, 自然景觀","嵐山, 有馬溫泉, 環球影城","主題樂園, 嵐山, 有馬溫泉, 溫泉之旅, 環球影城, 自然景觀"
24JHO25BRE-T,限定PLUS北海道旅遊｜全程無自理餐.升等螃蟹宴席料理.函館纜車.小樽漫遊.溫泉美食千千五日,True,39888.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽","函館, 北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
24TM910ABD-T,世界馳名~高美濕地.鰲峰玉帶.三井OUTLET吃透透.古法紙捲面體驗|大人囝仔台中一日遊,False,699.0,其他,"台中, 高美, 高美濕地","其他, 台中, 高美, 高美濕地"
24JHO29TRC-ZP,北海道旅遊│冬季熱氣球、森林精靈露台、青池、旭山動物園、小樽、溫泉美食六日│三晚溫泉,True,29888.0,"溫泉之旅, 美食, 自然景觀, 親子旅遊","北海道, 小樽, 旭山動物園","北海道, 小樽, 旭山動物園, 溫泉之旅, 美食, 自然景觀, 親子旅遊"
24TI911JJ7-T,【金門這樣玩】悠遊大小金門.廈門原來這麼近–雙口海濱公園四日(小金門住一晚),False,10900.0,其他,金門,"其他, 金門"
25XM126TK-T,"賀歲折5,000》加贈小費》經典埃及旅遊│神秘金字塔‧大埃及博物館‧阿布辛貝神殿‧尼羅河遊輪‧紅海之旅10日(一段飛機)",True,139900.0,文化歷史,"埃及, 尼羅河, 紅海, 金字塔, 阿布辛貝","埃及, 尼羅河, 文化歷史, 紅海, 金字塔, 阿布辛貝"
24TID28JJ7-T,【金門這樣玩】悠遊大小金門.廈門原來這麼近–雙口海濱公園四日(小金門住一晚),False,11400.0,其他,金門,"其他, 金門"
24JH916JXB-T,限定PLUS北海道旅遊｜全程無自理餐.升等螃蟹宴席料理.函館纜車.小樽漫遊.溫泉美食函千五日｜搭乘星宇航空,True,39888.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽","函館, 北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
24PHD06PR8-ZP,菲律賓｜長灘島精選酒店自由行五日｜含稅.贈3好禮.2人成行,True,20999.0,海島旅遊,,", 海島旅遊"
24TI910JJJ-T,樂遊金門︱勇闖大膽島.漫步後浦小鎮.超豪邁痛風餐三日,False,9900.0,海島旅遊,金門,"海島旅遊, 金門"
24TSN15STA-T,嘉義旅遊｜阿里山火車.栩悅號.鐵道工法.古蹟探秘.幻霧山城二日,False,5499.0,"文化歷史, 火車旅遊, 自然景觀","嘉義, 阿里山","嘉義, 文化歷史, 火車旅遊, 自然景觀, 阿里山"
24JHO26JXF-T,限定PLUS北海道旅遊｜全程無自理餐.升等螃蟹宴席料理.函館纜車.小樽漫遊.溫泉美食千函五日｜搭乘星宇航空,True,39888.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽","函館, 北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
24cwd29cxkc-t,早鳥預購最高享第二人折$2000元｜璀璨香港跨年煙火4日(未稅)｜都會海逸酒店3晚(獨享貴賓閣維港煙火秀),True,19999.0,其他,香港,"其他, 香港"
24JH930JXE-T,限定PLUS北海道旅遊｜全程無自理餐.升等螃蟹宴席料理.函館纜車.小樽漫遊.溫泉美食函函五日｜搭乘星宇航空,True,39888.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽","函館, 北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
25ED117EK-T,玩樂369經典北歐夢幻極光11日｜極光狩獵、帝王蟹、極光船、破冰船、極光玻璃屋,True,199900.0,"網美打卡, 自然景觀, 雪景",,", 網美打卡, 自然景觀, 雪景"
G24000SL,關空特快列車HARUKA車票,True,145.0,火車旅遊,,", 火車旅遊"
24JHN18JXG-T,限定PLUS北海道旅遊｜全程無自理餐.升等螃蟹宴席料理.函館纜車.小樽漫遊.溫泉美食函函五日｜搭乘星宇航空,True,39888.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽","函館, 北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
25JP223IT5-T,【主題旅遊】FUN_SKI滑雪趣－白馬GREENPLAZA滑雪五日遊(小松進出),True,58900.0,雪景,,", 雪景"
24JHD02SK1-GX,客製｜北海道星野渡假村滑雪~小樽運河.白色戀人公園.迷你小團五日【專屬包車】※不含機票,True,39900.0,"婚禮蜜月, 豪華, 雪景","北海道, 小樽, 小樽運河, 白色戀人公園","北海道, 婚禮蜜月, 小樽, 小樽運河, 白色戀人公園, 豪華, 雪景"
25EE117BR-T,"預購3000｜奧捷旅遊｜絕美湖景國王湖遊船,哈修塔特,童話庫倫洛夫,維也納熊布朗,美景宮,百水公寓10日",True,80900.0,自然景觀,"哈修塔特, 國王湖, 奧捷, 庫倫洛夫, 維也納","哈修塔特, 國王湖, 奧捷, 庫倫洛夫, 維也納, 自然景觀"
24TEO09TAN-T,宜蘭旅遊｜新寮瀑布芬多精．櫻桃鴨三吃．冬山小船．川湯春天旗艦館溫泉二日｜大人囝仔,False,2999.0,"溫泉之旅, 自然景觀",宜蘭,"宜蘭, 溫泉之旅, 自然景觀"
24EEO29MUF-ZP,童話奧捷德｜德國中古雙堡．維也納．布拉格．庫倫洛夫．哈修塔特湖區．薩爾斯堡．溫泉小鎮．OUTLET購物10日,True,60900.0,"溫泉之旅, 自然景觀, 購物","哈修塔特, 奧捷, 布拉格, 庫倫洛夫, 德國, 維也納","哈修塔特, 奧捷, 布拉格, 庫倫洛夫, 德國, 溫泉之旅, 維也納, 自然景觀, 購物"
CNHKG010,香港金域假日酒店HOLIDAY INN GOLDEN MILE HOTEL,True,0.0,其他,香港,"其他, 香港"
TWCYIS31,耐斯王子大飯店NICE PRINCE HOTEL,False,0.0,其他,,", 其他"
G23007HF,日本環球特快入場券4| Fun･Variety,True,3294.0,其他,,", 其他"
24JXO29ITR-ZP,日本大阪｜京阪奈三都.環球影城.和服體驗.奈良小鹿.伏見稻荷大社.HARUKAS展望台五日,True,30900.0,主題樂園,"伏見稻荷大社, 大阪, 奈良, 環球影城","主題樂園, 伏見稻荷大社, 大阪, 奈良, 環球影城"
24JHD07ITC-ZP,特選北海道旅遊｜洞爺湖.函館纜車.海洋公園.企鵝遊行.小樽銀鐘咖啡館.三大螃蟹五日｜保住一晚溫泉,True,31900.0,"海島旅遊, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽, 海洋公園","函館, 北海道, 小樽, 海島旅遊, 海洋公園, 溫泉之旅, 美食, 自然景觀"
24JXD19D7R-ZP,日本大阪｜京阪奈三都.環球影城.和服體驗.奈良小鹿.伏見稻荷大社.HARUKAS展望台五日,True,30900.0,主題樂園,"伏見稻荷大社, 大阪, 奈良, 環球影城","主題樂園, 伏見稻荷大社, 大阪, 奈良, 環球影城"
24EEN04CIA-T,"預購3000｜奧捷旅遊｜絕美湖景國王湖遊船,哈修塔特,童話庫倫洛夫,維也納熊布朗,美景宮,百水公寓10日",True,82900.0,自然景觀,"哈修塔特, 國王湖, 奧捷, 庫倫洛夫, 維也納","哈修塔特, 國王湖, 奧捷, 庫倫洛夫, 維也納, 自然景觀"
24EEN27BR-T,"預購3000｜奧捷旅遊｜絕美湖景國王湖遊船,哈修塔特,童話庫倫洛夫,維也納熊布朗,美景宮,百水公寓10日",True,84900.0,自然景觀,"哈修塔特, 國王湖, 奧捷, 庫倫洛夫, 維也納","哈修塔特, 國王湖, 奧捷, 庫倫洛夫, 維也納, 自然景觀"
244016,嘉義-2024栩悅號觀光列車 | 阿里山火車(嘉義↔️奮起湖),False,99.0,"火車旅遊, 自然景觀","嘉義, 奮起湖, 阿里山","嘉義, 奮起湖, 火車旅遊, 自然景觀, 阿里山"
25AB528BRP-T,最高省１萬》美西旅遊｜黃石、大堤頓、錫安、布萊斯、大峽谷、羚羊峽谷、馬蹄灣１２日,True,148900.0,其他,,", 其他"
24ST906CI4-K,"泰國旅遊│美人魚餐廳x浪漫聖托里尼咖啡廳,格蘭島海之旅,泰國皇室點心手作體驗,雙夜市,雙按摩五日",True,27999.0,"夜間活動, 婚禮蜜月, 海島旅遊, 美食",,", 夜間活動, 婚禮蜜月, 海島旅遊, 美食"
00309397,捷絲旅 台南虎山館JUST SLEEP TAINAN HUSHAN,False,0.0,自然景觀,,", 自然景觀"
24JSO09BRE-T,好食在楓東北|藏王纜車.十和田湖遊船.奧入瀨溪流.中尊寺.嚴美溪.鳴子峽.山形牛餐.仙台牛舌餐.採果.溫泉五日,True,58900.0,"文化歷史, 溫泉之旅, 自然景觀","中尊寺, 仙台, 十和田湖, 嚴美溪, 奧入瀨溪流, 山形","中尊寺, 仙台, 十和田湖, 嚴美溪, 奧入瀨溪流, 山形, 文化歷史, 溫泉之旅, 自然景觀"
24TSO24HUA3-K,雲林旅遊｜【大人囝仔】華山小天梯～情人橋.蘿莎玫瑰山莊.蘭潭月影潭心.朴子水道頭文創聚落一日｜高雄.台南出發,False,799.0,自然景觀,"雲林, 高雄","自然景觀, 雲林, 高雄"
25JP223IT6-T,【主題旅遊】FUN_SKI滑雪趣－白馬乘鞍．CORTINA雙雪場滑雪五日遊(小松進出),True,67900.0,雪景,,", 雪景"
25JP209IT6-T,【主題旅遊】FUN_SKI滑雪趣－白馬乘鞍．CORTINA雙雪場滑雪五日遊(小松進出),True,67900.0,雪景,,", 雪景"
24JFO09CIA-T,旅展優惠|九州人氣由布院之森.海之中道水族館.鶴見岳空中纜車.和牛長腳蟹吃到飽.保住雙溫泉五日,True,41900.0,"溫泉之旅, 自然景觀, 親子旅遊",,", 溫泉之旅, 自然景觀, 親子旅遊"
25js212ith-t,【主題旅遊】FUN_SKI滑雪趣_東北八幡平滑雪5日遊(花卷進仙台出),True,65900.0,雪景,仙台,"仙台, 雪景"
25AB124JXS-T,賀歲美西｜賭城兩晚四星、迪士尼、環球影城、北美最高摩天輪、大峽谷天空步道、圍爐龍蝦餐１０日,True,122900.0,主題樂園,環球影城,"主題樂園, 環球影城"
24JSO09ITA-ZP,花卷旅遊｜丹楓迎秋~楓染奧入瀨溪．角館．十和田湖遊船．八甲田山纜車．賞楓鐵道．一口麵．採果溫泉五日,True,50900.0,"溫泉之旅, 火車旅遊, 自然景觀","八甲田山, 十和田湖, 角館","八甲田山, 十和田湖, 溫泉之旅, 火車旅遊, 自然景觀, 角館"
24SC908SQ4-T,8/31前預訂，11歲以下享食宿全免、12-17歲享食宿5折｜ClubMed馬爾地夫卡尼全包假期七日,True,92300.0,其他,,", 其他"
MM928:MM923:,台北 - 沖繩 來回,True,13388.0,其他,"台北, 沖繩","其他, 台北, 沖繩"
24TN922NFG-T,桃園旅遊｜第二人折$888|經典異國美食.石門活魚餐.客家文化體驗.玲瓏窯玻璃工藝.南方莊園二日｜大人囝仔,False,4299.0,"文化歷史, 美食",桃園,"文化歷史, 桃園, 美食"
25EU124CX-T,"賀歲折5000｜旗艦德瑞｜少女峰,馬特宏峰,冰河列車,黃金快線列車,雙五星10日｜冬季版．免小費",True,189900.0,"火車旅遊, 豪華","少女峰, 德瑞, 馬特宏峰","少女峰, 德瑞, 火車旅遊, 豪華, 馬特宏峰"
25JT105ITW-T,【主題旅遊】FUN_SKI滑雪趣－群馬萬座高原滑雪五日,True,59900.0,雪景,群馬,"群馬, 雪景"
24JXN30BRA-T,"紅葉樂遊京阪神│森之美山町合掌村,海之天橋立,伊根舟屋,茶之平等院,楓紅姬路城~好古園,DIY體驗五日│一晚溫泉",True,47900.0,"溫泉之旅, 自然景觀",平等院,"平等院, 溫泉之旅, 自然景觀"
24JSO06JXE-T,好食在楓東北|藏王纜車.十和田湖遊船.奧入瀨溪流.中尊寺.嚴美溪.鳴子峽.山形牛餐.仙台牛舌餐.採果.溫泉五日,True,49900.0,"文化歷史, 溫泉之旅, 自然景觀","中尊寺, 仙台, 十和田湖, 嚴美溪, 奧入瀨溪流, 山形","中尊寺, 仙台, 十和田湖, 嚴美溪, 奧入瀨溪流, 山形, 文化歷史, 溫泉之旅, 自然景觀"
24JH921JXC-T,省最大北海道旅遊｜函館夜景.金森倉庫.企鵝遊行.小樽漫遊.三大蟹溫泉美食五日｜保住兩晚溫泉.函館來回,True,41900.0,"夜間活動, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀"
24JHN01BRD-T,省最大北海道｜美瑛青池.羊駝（草泥馬）牧場.銀河流星瀑布.小樽漫遊.螃蟹溫泉五日｜保住兩晚溫泉,True,35900.0,"溫泉之旅, 美食, 自然景觀","北海道, 小樽, 美瑛青池","北海道, 小樽, 溫泉之旅, 美瑛青池, 美食, 自然景觀"
NH854:NH987:NH4744:NH851:,台北 - 札幌 來回,True,15451.0,其他,"台北, 札幌","其他, 台北, 札幌"
24JHN13BRA-T,省最大北海道｜美瑛青池.羊駝（草泥馬）牧場.銀河流星瀑布.小樽漫遊.螃蟹溫泉五日｜保住兩晚溫泉,True,35900.0,"溫泉之旅, 美食, 自然景觀","北海道, 小樽, 美瑛青池","北海道, 小樽, 溫泉之旅, 美瑛青池, 美食, 自然景觀"
HX283:HX690:HX691:HX252:,台北 - 札幌 來回,True,13735.0,其他,"台北, 札幌","其他, 台北, 札幌"
24JFO08CIB-T,"南九州|飫肥城邊走邊吃券.櫻島渡輪,高千穗峽.鵜戶神宮.復古路面電車體驗.雙溫泉五日",True,34900.0,"海島旅遊, 溫泉之旅, 自然景觀",,", 海島旅遊, 溫泉之旅, 自然景觀"
25JX109ITK-K,大阪旅遊｜台灣虎航｜日本環球影城瑪利歐.三千院.嵐山渡月橋.奈良東大寺.清水寺.北野異人館.有馬溫泉6日｜高雄來回,True,37900.0,"主題樂園, 文化歷史, 溫泉之旅, 自然景觀","北野, 北野異人館, 大阪, 奈良, 嵐山, 有馬溫泉, 東大寺, 清水寺, 環球影城, 高雄","主題樂園, 北野, 北野異人館, 大阪, 奈良, 嵐山, 文化歷史, 有馬溫泉, 東大寺, 清水寺, 溫泉之旅, 環球影城, 自然景觀, 高雄"
24JKN13ITM-ZP,慢遊楓紅釜山半自助｜慶州賞楓秘境.銀杏大道.海雲台遊艇.海理團路(一站購物彩妝)五日,True,20900.0,"自然景觀, 購物","海雲台, 釜山","海雲台, 自然景觀, 購物, 釜山"
25JS224ITU-T,【主題旅遊】FUN_SKI滑雪趣－新潟舞子高原滑雪五日遊(新潟進出),True,67900.0,雪景,新潟,"新潟, 雪景"
24JHN05JXA-T,限定北海道旅遊｜全程無自理餐.北海道神宮.洞爺湖.昭和新山.小樽漫遊.溫泉五日｜保住一晚五星,True,29888.0,"溫泉之旅, 自然景觀, 豪華","北海道, 北海道神宮, 小樽","北海道, 北海道神宮, 小樽, 溫泉之旅, 自然景觀, 豪華"
HX285:HX690:HX691:HX252:,台北 - 札幌 來回,True,12772.0,其他,"台北, 札幌","其他, 台北, 札幌"
200602054,高鐵假期-台中港酒店二日自由行,False,,其他,台中,"其他, 台中"
25JP104ITK-K,北陸好食在｜台灣虎航｜御在所樹冰.伊勢神宮.伊勢龍蝦餐.夢幻合掌村.季節彩果.鰻魚三吃.白川鄉住一晚六日|高雄來回,True,45900.0,其他,高雄,"其他, 高雄"
24SC919SQC-T,馬爾地夫｜AngsanaVelavar薇拉瓦魯🐢海龜島、浮潛．7天5夜,True,106000.0,海島旅遊,,", 海島旅遊"
00001749,札幌千歲國際飯店HOTEL WING INTERNATIONAL CHITOSE,False,2160.0,其他,札幌,"其他, 札幌"
24JK914BX9-K,旅展優惠釜山｜海雲台海岸列車．豪華遊艇派對．樂天世界．水族館美人魚秀(二站購物人蔘彩妝)五日｜高雄,True,16888.0,"火車旅遊, 自然景觀, 親子旅遊, 豪華, 購物","海雲台, 釜山, 高雄","海雲台, 火車旅遊, 自然景觀, 親子旅遊, 豪華, 購物, 釜山, 高雄"
24JHN25JXF-T,每月一物北海道｜函館夜景纜車.企鵝遊行.海洋公園.小樽漫遊.三大蟹吃到飽五日｜保住二晚溫泉,True,36900.0,"夜間活動, 海島旅遊, 溫泉之旅, 自然景觀","函館, 北海道, 夜景, 小樽, 海洋公園","函館, 北海道, 夜景, 夜間活動, 小樽, 海島旅遊, 海洋公園, 溫泉之旅, 自然景觀"
25JY108ITK-K,廣島岡山四國｜倉敷美觀.嚴島神社.栗林公園.金刀比羅宮.道後溫泉.烏龍麵DIY五日｜一晚溫泉｜回程贈五公斤行李｜高雄來回,True,36900.0,"文化歷史, 海島旅遊, 溫泉之旅, 自然景觀",高雄,"文化歷史, 海島旅遊, 溫泉之旅, 自然景觀, 高雄"
24JKN30BRA-T,雄推薦首爾｜保證住萬豪集團萬怡酒店乙晚.穿韓服遊景福宮.淚之女王百貨.濟扶島海上纜車.稻花農夫體驗(二站購物)五日,True,24900.0,"海島旅遊, 購物","景福宮, 首爾","景福宮, 海島旅遊, 購物, 首爾"
24JH922CIB-T,限定北海道旅遊｜全程無自理餐.富良野花田.北海道神宮.洞爺湖.昭和新山.小樽漫遊.溫泉美食五日｜保住一晚五星,True,29888.0,"溫泉之旅, 美食, 自然景觀, 豪華","北海道, 北海道神宮, 小樽","北海道, 北海道神宮, 小樽, 溫泉之旅, 美食, 自然景觀, 豪華"
240704001,高鐵自由行-阿里山福森號森品茗奮起湖-北門｜住宿任選送台灣好行,False,,自然景觀,"奮起湖, 阿里山","奮起湖, 自然景觀, 阿里山"
24JKN30BRK-K,首爾好遊｜四晚市區飯店．景福宮韓服體驗．祕訪青瓦臺．人工浮島夜景．東大門明洞好好逛．韓食好好味(一站購物彩妝)五日｜高雄,True,23500.0,"夜間活動, 海島旅遊, 購物","夜景, 明洞, 景福宮, 東大門, 首爾, 高雄","夜景, 夜間活動, 明洞, 景福宮, 東大門, 海島旅遊, 購物, 首爾, 高雄"
24JK927BXK-K,旅展優惠釜山｜海雲台海岸列車．豪華遊艇派對．樂天世界．水族館美人魚秀(二站購物人蔘彩妝)五日｜高雄,True,16888.0,"火車旅遊, 自然景觀, 親子旅遊, 豪華, 購物","海雲台, 釜山, 高雄","海雲台, 火車旅遊, 自然景觀, 親子旅遊, 豪華, 購物, 釜山, 高雄"
24JHO07ITG-ZP,限定北海道旅遊│北海道賞楓名所、小樽漫遊、函館千萬夜景、美食溫泉五日│一晚五星二晚溫泉,True,29888.0,"夜間活動, 溫泉之旅, 美食, 自然景觀, 豪華","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀, 豪華"
24TN910SZ1-T,Together一起旅行．雪霸ＬｏｎｇＳｔａｙ.雪霸休閒農場3天2夜（一人成行）,False,5800.0,其他,,", 其他"
24JKD01CIG-T,首爾旅遊｜在星空下住乙晚～湖畔露營車.住明洞自由逛.暢遊樂天世界.南怡島美境.松島浪漫月亮船.森林系咖啡(兩站購物)五日,True,22900.0,"婚禮蜜月, 戶外活動, 海島旅遊, 自然景觀, 購物","明洞, 首爾","婚禮蜜月, 戶外活動, 明洞, 海島旅遊, 自然景觀, 購物, 首爾"
24JHO23ITG-ZP,限定北海道旅遊│北海道賞楓名所、小樽漫遊、函館千萬夜景、美食溫泉五日│一晚五星二晚溫泉,True,29888.0,"夜間活動, 溫泉之旅, 美食, 自然景觀, 豪華","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀, 豪華"
24JKD01CIC-T,旅展優惠｜韓冬滑雪｜首爾旅遊｜全日暢遊愛寶樂園.全日滑雪體驗.最美星空圖書館.好客空間.潮人聖地聖水洞.明洞半日逛五日,True,18499.0,"主題樂園, 自然景觀, 雪景","明洞, 首爾","主題樂園, 明洞, 自然景觀, 雪景, 首爾"
24TE911FUS-T,宜蘭旅遊｜限量預約~福山植物園．太平山森林蹦蹦小火車．原始林步道．日系北后寺．礁溪長榮生態2日｜大人囝仔,False,5899.0,"文化歷史, 火車旅遊, 自然景觀","太平山, 宜蘭","太平山, 宜蘭, 文化歷史, 火車旅遊, 自然景觀"
24TNN28SMF-ZP,桃園旅遊｜石門水庫賞楓.臺灣客家茶文化館.味衛佳柿餅觀光農場一日,False,799.0,"文化歷史, 自然景觀","桃園, 石門水庫","文化歷史, 桃園, 石門水庫, 自然景觀"
24TN916SZ1-T,Together一起旅行．雪霸ＬｏｎｇＳｔａｙ.雪霸休閒農場3天2夜（一人成行）,False,5800.0,其他,,", 其他"
24TED04TH5-K,洄來花蓮玩｜五星西班牙美學理想大地、歐風水岸星巴克、飄飄雲朵、羅山瀑布、小吃美食二日｜台南高雄出發,False,3999.0,"美食, 自然景觀, 豪華","花蓮, 西班牙, 高雄","美食, 自然景觀, 花蓮, 西班牙, 豪華, 高雄"
24JKD03BRH-T,首爾旅遊無購物｜保證入住近明洞飯店乙晚.江陵ARTEMUSEUM.BTS公車站朝聖.穿韓服遊景福宮五日,True,33900.0,購物,"明洞, 景福宮, 首爾","明洞, 景福宮, 購物, 首爾"
24JFO15CIC-T,九州旅遊|三大蟹鍋物吃到飽.柳川遊船.九重夢大吊橋.雙溫泉五日●兩晚五星希爾頓,True,31900.0,"溫泉之旅, 自然景觀, 豪華",九重夢大吊橋,"九重夢大吊橋, 溫泉之旅, 自然景觀, 豪華"
24ESN10TK-T,"冬遊│經典西班牙旅遊│巴塞隆納五星飯店,普拉多美術館,格拉納達,風車村,AVE火車,高第建築11日",True,107900.0,"火車旅遊, 藝文體驗, 豪華","巴塞隆納, 格拉納達, 美術館, 西班牙, 風車村","巴塞隆納, 格拉納達, 火車旅遊, 美術館, 藝文體驗, 西班牙, 豪華, 風車村"
24ESD08TK-T,"冬遊│經典西班牙旅遊│巴塞隆納五星飯店,普拉多美術館,格拉納達,風車村,AVE火車,高第建築11日",True,107900.0,"火車旅遊, 藝文體驗, 豪華","巴塞隆納, 格拉納達, 美術館, 西班牙, 風車村","巴塞隆納, 格拉納達, 火車旅遊, 美術館, 藝文體驗, 西班牙, 豪華, 風車村"
24JKD03TWK-K,首爾都會漫遊｜一日自由活動．船長體驗～駕駛遊艇_餵海鷗．玩翻愛寶．華城行宮列車．文青必去聖水洞(一站購物彩妝)五日｜高雄,True,19500.0,"火車旅遊, 購物","首爾, 高雄","火車旅遊, 購物, 首爾, 高雄"
24JHO02JXC-T,玩樂369北海道旅遊｜紅葉絕景.阿寒湖KAMUYLUMINA燈光秀.北海道大學銀杏季.夢幻真鍋庭園.三大蟹溫泉五日,True,52900.0,"夜間活動, 溫泉之旅, 自然景觀","北海道, 北海道大學","北海道, 北海道大學, 夜間活動, 溫泉之旅, 自然景觀"
25JX109MMK-K,大阪｜樂桃｜關西四都～平等院.奈良東大寺.清水寺.伏見稻荷大社.和牛排燒肉六日｜一日自由活動｜高雄來回,True,29900.0,"文化歷史, 美食","伏見稻荷大社, 大阪, 奈良, 平等院, 東大寺, 清水寺, 高雄","伏見稻荷大社, 大阪, 奈良, 平等院, 文化歷史, 東大寺, 清水寺, 美食, 高雄"
24JKD03BRC-T,旅展優惠｜韓冬滑雪｜首爾旅遊｜全日暢遊愛寶樂園.全日滑雪體驗.最美星空圖書館.好客空間.潮人聖地聖水洞.明洞半日逛五日,True,18499.0,"主題樂園, 自然景觀, 雪景","明洞, 首爾","主題樂園, 明洞, 自然景觀, 雪景, 首爾"
24TN919LSG-ZP,桃園旅遊｜古色古香昭和拾參神社、鶯歌老街、向陽農場、垂坤食品旗艦店一日｜台中出發,False,899.0,文化歷史,"台中, 桃園","台中, 文化歷史, 桃園"
