,使用者ID,地點／景點,活動,購買區間,搜尋紀錄
300,665232f0-36b9-4dd0-9b49-d0469f9f09f7,峽灣,"戶外活動, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 豪華",135000 - 139999,無
301,66820fd2-ca2c-4309-8e1e-f2c1c1f236bb,"台中, 台北, 嘉義, 墾丁, 奇美, 屏東, 拉拉山, 桃園, 瑞穗牧場, 石門水庫, 花蓮","文化歷史, 溫泉之旅, 火車旅遊, 網美打卡, 自然景觀, 豪華, 購物",0 - 4999,台灣全選
302,66ca53f6-2755-4863-822d-b71ed438e364,"拉斯維加斯, 洛杉磯, 舊金山",自然景觀,85000 - 89999,美國全選
303,66cfb56d-b1a3-4aa6-8216-792bf60edd2f,"北海坑道, 北竿, 東莒, 東莒燈塔, 西莒","其他, 美食",15000 - 19999,"台灣全選, 東南亞全選"
304,67086a2b-42e8-4097-a2f8-e1a7c3b49dc2,花蓮,其他,0 - 4999,花蓮美侖大飯店
305,6709e37f-2424-493e-ab44-24c41ef7988b,"富士, 東京, 橫濱","主題樂園, 火車旅遊, 自然景觀",30000 - 34999,無
306,674db99d-1a6f-4a12-892f-0e88c4aa6637,首爾,其他,0 - 4999,無
307,67763f00-bdc8-4c5d-854b-f245724b7df4,"別府, 灶地獄, 阿里山","溫泉之旅, 自然景觀",5000 - 9999,無
308,67b133af-5ee6-4c25-a528-7c5387b17db7,"台中, 哈修塔特, 布達佩斯, 德瑞, 維也納, 羅曼蒂克大道, 萊茵河","婚禮蜜月, 文化歷史, 溫泉之旅, 火車旅遊, 自然景觀",60000 - 64999,無
309,6862eaf4-ebba-4484-bd92-2511814d2874,日月潭,"其他, 藝文體驗",5000 - 9999,無
310,688261ce-44f2-463f-bd3b-e5203636aca0,"台中, 台北, 嘉義, 基隆, 太平山, 奮起湖, 宜蘭, 日月潭, 知本溫泉, 阿里山, 高雄","文化歷史, 溫泉之旅, 火車旅遊, 自然景觀, 豪華, 購物",5000 - 9999,無
311,6888e3ef-800b-49af-8f7c-e3bd0a649d77,"弘大, 新潟, 明洞, 首爾","主題樂園, 海島旅遊, 自然景觀, 雪景",20000 - 24999,無
312,69075bca-07c5-4506-88a8-7697f764058d,台中,"文化歷史, 自然景觀",5000 - 9999,無
313,695a03a2-437d-4aec-8611-a50e427c10c9,"東大門, 東大門夜市, 歐洲, 歐洲之星, 花蓮","其他, 夜間活動, 豪華",0 - 4999,花蓮
314,6ab26fa5-f66d-48e1-a4f2-a144ca0eb517,"吉隆坡, 新加坡",其他,40000 - 44999,郵輪
315,6b507f5f-d652-48c6-817d-9158903644de,"台北, 時代廣場",其他,75000 - 79999,紐約甘乃迪機場(JFK)
316,6b584e92-aad1-4d04-881d-606609449695,"佛國寺, 安東河回村, 海雲台, 瞻星台, 釜山","文化歷史, 溫泉之旅, 火車旅遊, 自然景觀, 購物",20000 - 24999,賞楓
317,6b585ffe-c3f9-4ce2-9ac6-73162aeefafd,"威尼斯, 尼斯, 巴黎, 布魯日, 羅馬, 羊角村, 義大, 義大利, 風車村, 高雄","夜間活動, 婚禮蜜月, 文化歷史, 海島旅遊, 火車旅遊, 美食, 豪華, 購物",145000 - 149999,無
318,6b770a32-256b-4bb8-b5a5-e1df54b412dd,"國際通, 富士, 時尚購物中心, 東京, 沖繩, 淺草, 淺草寺, 美麗海水族館, 跨海大橋, 鄭王廟, 高雄","主題樂園, 其他, 文化歷史, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 豪華, 購物",25000 - 29999,富國島
319,6b80bc96-25d6-4794-9ec7-2bacb72d32ec,"倫敦, 劍橋, 哈修塔特, 大英博物館, 天鵝堡, 奧捷, 布拉格, 德國, 慕尼黑, 牛津, 維也納, 羅曼蒂克大道, 英國","其他, 文化歷史, 購物",55000 - 59999,泰國
320,6ba4c264-c441-45df-9397-a679c69d5edb,"倫敦, 威尼斯, 尼斯, 巴黎, 東京, 澳門, 香港","其他, 海島旅遊, 豪華",0 - 4999,無
321,6bf19adc-311e-4ed0-959c-ee2868940a0f,東京,其他,0 - 4999,東京上野諾加飯店
322,6c22d39c-e014-4011-931a-992beb27b7ab,台中,其他,0 - 4999,無
323,6c2eed75-2c23-48b0-b5cc-dd4793c3d06e,高雄,"海島旅遊, 自然景觀, 購物",30000 - 34999,無
324,6cb2c00b-e97a-40b3-8ab0-fd34c3cad6c7,"台北, 東京",其他,0 - 4999,無
325,6d29ff5c-62cf-4421-8a5a-ce4ff388b3f5,鄭王廟,親子旅遊,20000 - 24999,無
326,6e672df3-ca2c-42c7-9897-79cb404fb621,"哈修塔特, 奧捷, 布拉格, 布達佩斯, 庫倫洛夫, 維也納",自然景觀,60000 - 64999,無
327,6e8209e8-2311-46d5-b33e-9ce28c6220d0,"白廟, 藍廟, 鐘樓","文化歷史, 自然景觀, 豪華, 購物",25000 - 29999,"泰國, 清邁"
328,6f758f83-17e6-4e62-9e29-f746575c7712,"大阪, 心齋橋",其他,15000 - 19999,"京都, 大阪"
329,6f93b61e-970a-48be-96b1-73b931a172ee,花蓮,其他,0 - 4999,"台灣, 花蓮"
330,6fc5616f-01dc-419c-9176-3db8e917a453,"嘉義, 美術館, 義大, 阿里山, 高雄","其他, 火車旅遊, 自然景觀, 藝文體驗",0 - 4999,義大世界
331,70221f5d-1900-4d7b-8d34-fc8b68a218ea,"台北, 大阪",其他,5000 - 9999,大阪-OSAKA(OSA)
332,70c3fc57-7384-4cc1-9a16-0081e2eefe6c,"台中, 沖繩, 美麗海水族館","文化歷史, 海島旅遊, 溫泉之旅, 自然景觀, 藝文體驗, 親子旅遊, 購物",35000 - 39999,日本全選
333,7128d833-ffd5-465e-bd1c-b7b81005bb1c,"函館, 北海道, 小樽, 海洋公園","海島旅遊, 溫泉之旅, 美食, 自然景觀",30000 - 34999,特選北海道
334,71855951-b4f4-40c5-9cfc-f41268115d52,釜山,"自然景觀, 購物",20000 - 24999,無
335,71d1f75d-644d-42f2-8fbc-f5b71d992dfc,花蓮,其他,0 - 4999,無
336,7250d2f7-9b6f-48f3-8c81-1843dab0dfbb,"基隆, 沖繩",海島旅遊,30000 - 34999,郵輪
337,725c1441-9a91-40ca-a50e-388f1f7f08d4,"威尼斯, 尼斯, 義大, 義大利","海島旅遊, 自然景觀",80000 - 84999,克羅
338,7278f3d4-0315-4e65-ba1a-d81b3a320881,"北海道, 小樽, 旭山動物園, 札幌","溫泉之旅, 美食, 自然景觀, 親子旅遊",65000 - 69999,無
339,72887630-7d18-4dbe-b5f6-4a3403a09a2a,"海雲台, 釜山","夜間活動, 海島旅遊, 火車旅遊, 自然景觀, 藝文體驗, 購物",15000 - 19999,釜山
340,730c8525-af96-4a4f-b291-e976b515b307,"台中, 臺東","火車旅遊, 豪華, 購物",0 - 4999,無
341,7322ad8e-e656-4235-a316-30f2c3f477f0,"仁寺洞, 北村韓屋村, 弘大, 明洞, 東大門, 清溪川, 首爾","主題樂園, 文化歷史, 購物",15000 - 19999,首爾
342,755bf058-e7d6-4669-925a-130e70f80219,"北投溫泉, 南庄老街, 台中, 台北, 嘉義, 小烏來, 拉拉山, 新北, 新竹, 旗山老街, 桃園, 淡水, 烏來, 苗栗, 陽明山, 高美, 高美濕地, 高雄, 龍騰斷橋","其他, 文化歷史, 海島旅遊, 溫泉之旅, 自然景觀",0 - 4999,無
343,75828c32-7450-4ff6-bf3f-440ffc902ff7,"嘉義, 新竹, 桃園, 阿里山, 高雄","其他, 文化歷史, 火車旅遊, 自然景觀",5000 - 9999,"德島, 新竹"
344,764d088f-79cd-4ee7-b8cd-6b8eeb1f966c,"台中, 太平山, 宜蘭, 花蓮","溫泉之旅, 火車旅遊, 美食, 自然景觀, 藝文體驗",0 - 4999,無
345,764fa876-7e47-4dcd-ac78-2070fe595af9,"峨眉湖, 新竹","美食, 自然景觀",0 - 4999,無
346,766356c5-9a93-469d-b426-ec01ab5806d8,"京都, 北野, 大阪, 嵐山, 平等院, 東福寺, 環球影城, 神戶","主題樂園, 文化歷史, 自然景觀, 藝文體驗, 親子旅遊",40000 - 44999,日本環球影城
347,766a7cfe-9ffe-4570-9929-fd37b2dd9c20,首爾,"主題樂園, 海島旅遊, 網美打卡, 自然景觀",10000 - 14999,無
348,76997101-2d9f-481c-9a0d-a8fd698d0748,"仙台, 函館, 北海道, 夜景, 奧入瀨溪流, 小樽, 山形, 旭山動物園, 明洞, 花卷溫泉, 銀山, 銀山溫泉街, 首爾","夜間活動, 婚禮蜜月, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 豪華, 雪景",75000 - 79999,"日本, 韓國"
349,76c3d2c5-fdb1-42e1-95f3-055cab2095a9,"富士, 新宿, 東京, 江之島, 箱根","文化歷史, 海島旅遊, 火車旅遊, 美食, 自然景觀",35000 - 39999,無
350,76c9ea16-7030-41e9-8f96-1724bda24d8b,"函館, 北海道, 夜景, 小樽, 旭山動物園, 東京, 海洋公園","主題樂園, 夜間活動, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 豪華, 雪景",35000 - 39999,北海道
351,77338457-ca61-4369-b76a-da695a206192,"海雲台, 釜山","海島旅遊, 火車旅遊, 自然景觀, 藝文體驗, 購物",20000 - 24999,無
352,77465892-b425-4b0d-9177-850ca22cbe71,"哈修塔特, 國王湖, 奧捷","自然景觀, 豪華",150000 - 154999,無
353,777f9d98-afc2-4b5c-a52d-7746b87e8a12,"六本木, 新宿, 銀座",其他,0 - 4999,無
354,77d7777a-7aba-4b69-9790-43e2e0e42f40,宜蘭,自然景觀,0 - 4999,無
355,78266caa-fa1c-4dce-854c-fbb5180ab786,"埃及, 尼羅河, 紅海, 金字塔, 阿布辛貝, 阿拉斯加","文化歷史, 溫泉之旅, 自然景觀, 雪景",130000 - 134999,"埃及, 美西"
356,784c4b00-4239-40b1-9cf2-c0353a7fb3d4,"中尊寺, 函館, 北海道, 嚴美溪, 富士, 小樽, 時尚購物中心, 東京, 橫濱, 沖繩, 熊牧場, 玉泉洞, 萬座毛, 角館, 跨海大橋, 銀山, 銀山溫泉街","主題樂園, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 購物",25000 - 29999,無
357,7861a757-2d17-4ae3-8457-06aae326982f,"台北, 大阪, 心齋橋, 東京, 環球影城, 黑門市場","主題樂園, 其他, 購物",10000 - 14999,"東京, 東京-TOKYO(TYO)"
358,78952252-9ead-43c6-87e2-2e963f9244ef,"仙台, 富士, 東京, 河口湖, 角館, 銀山, 青森","主題樂園, 文化歷史, 溫泉之旅, 美食, 自然景觀",50000 - 54999,東京
359,789d7020-dd1f-45ea-86de-48db3a3cc053,"嘉義, 阿里山","婚禮蜜月, 自然景觀",50000 - 54999,無
360,78a9c05d-a523-4c97-be40-46636ffd5fd8,花蓮,其他,0 - 4999,花蓮
361,78e6e602-a13b-485b-b79b-4cbfe531da0f,"京都, 仁寺洞, 北海道, 塗鴉秀, 夜景, 大阪, 奈良, 富士, 巴塞隆納, 弘大, 德里, 明洞, 景福宮, 東京, 格拉納達, 歐洲, 河口湖, 神戶, 西班牙, 首爾, 馬德里, 高雄","主題樂園, 其他, 夜間活動, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊, 豪華, 購物, 雪景",30000 - 34999,無
362,7954bfbb-cc92-451a-9780-69984e99d2b4,"台北, 澎湖",自然景觀,5000 - 9999,無
363,79e6681e-b2a3-4742-ae50-666ca2420d31,"沖繩, 那霸",其他,15000 - 19999,無
364,79e9a5d2-0d3c-477b-9380-d467a45181bd,"六十石山, 新竹, 桃園, 花蓮, 高雄","婚禮蜜月, 自然景觀",0 - 4999,無
365,7a490c04-85be-4f8e-820e-1df8f2fb20d3,"台中, 桃園, 石門水庫","文化歷史, 自然景觀",0 - 4999,無
366,7aa5f9ed-9497-4421-9293-551efa08e890,"海洋公園, 西班牙","主題樂園, 海島旅遊",25000 - 29999,無
367,7b504dd8-304f-4122-8244-678641ab0353,釜山,"自然景觀, 購物, 雪景",35000 - 39999,無
368,7b933b7c-d04e-4175-ba70-3cdb3a77bebb,"嘉義, 奮起湖, 阿里山, 高雄","火車旅遊, 自然景觀",5000 - 9999,無
369,7b9bf92d-e48f-495b-a602-e1cc71b011e8,義大,其他,10000 - 14999,"宿霧, 泰國全選, 菲律賓"
370,7bb458c7-cebf-41cf-9d0b-17da5f7b00e2,"東京, 淺草, 高雄",其他,15000 - 19999,日本全選
371,7c1361cf-fd4d-4eac-a219-83c7a455f892,"天鵝堡, 布拉格, 德國, 捷克","文化歷史, 美食, 購物",65000 - 69999,"土耳其, 捷克, 斯里蘭卡"
372,7c2a4fa7-2b08-48cd-a7b5-7c107ecd66bb,"台中, 杉林溪, 花蓮, 高雄","主題樂園, 其他, 美食, 自然景觀",0 - 4999,無
373,7c96859d-1cd6-4aa1-8599-44211d07821b,"土耳其, 天鵝堡, 巴黎, 德國, 慕尼黑, 故宮, 歐洲, 歐洲之星, 米蘭, 羅曼蒂克大道, 羊角村, 義大, 義大利","其他, 文化歷史, 美食, 自然景觀, 豪華",120000 - 124999,土耳其
374,7cd50bdd-9fd0-47ea-bd0d-080b96c1563e,"大阪, 環球影城, 神戶","主題樂園, 藝文體驗, 親子旅遊",45000 - 49999,無
375,7dc8a290-1d35-4128-a094-4afca6a70896,"台北, 大阪",其他,10000 - 14999,"大阪-OSAKA(OSA), 東京-TOKYO(TYO)"
376,7e0cf70a-cea2-45e4-bc5c-6d653bcacf8f,"台中, 台北, 新竹, 桃園","火車旅遊, 自然景觀",5000 - 9999,台灣
377,7e1998dc-c395-4d03-8785-f9a13804f901,"基隆, 石垣島, 翟山坑道, 金門, 金門高粱, 風獅爺","其他, 海島旅遊, 自然景觀",5000 - 9999,無
378,7fd55ed1-0c74-4118-9cb0-9946e8db1e4b,"十分瀑布, 高雄","海島旅遊, 溫泉之旅, 美食, 自然景觀",5000 - 9999,無
379,806a8a28-a559-4c5d-9534-9cbbedff513d,"台北, 大阪",其他,50000 - 54999,大阪-OSAKA(OSA)
380,80719ba1-f249-4cf7-948c-d9c18f455e1e,桃園,其他,0 - 4999,桃園
381,809b1c81-8b93-46ec-9f5e-e865716bb94e,"法國, 羅浮宮",購物,55000 - 59999,無
382,80a6f644-3914-4c00-a8ec-d8a121f9b4d9,"七星潭, 三仙台, 仙台, 台中, 台北, 新竹, 桃園, 花蓮, 鯉魚潭","主題樂園, 其他, 婚禮蜜月, 海島旅遊, 火車旅遊, 美食, 自然景觀, 豪華",0 - 4999,無
383,80c03138-b337-46e5-980f-756e167812be,台北,海島旅遊,10000 - 14999,長灘島-BORACAY(MPH)
384,80e07482-ee85-450d-8950-6b423dd2b20a,淡水,其他,0 - 4999,無
385,81082e30-e619-40b1-8280-253474174d76,"新潟, 群馬",雪景,55000 - 59999,無
386,81a4bcc7-7799-4dbb-8855-e75634240e0c,"基隆, 沖繩, 石垣島",海島旅遊,40000 - 44999,無
387,81e436a7-3af2-4d8f-8c8e-90efbb2957ac,"函館, 北海道, 夜景, 天狗山, 小樽, 小樽運河, 小樽音樂盒堂, 慕尼黑, 札幌, 海洋公園, 熊牧場","夜間活動, 婚禮蜜月, 文化歷史, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 豪華, 雪景",40000 - 44999,無
388,81e90001-757f-43dc-988f-b029c2d97046,"函館, 北海道, 小樽, 熊牧場","溫泉之旅, 美食, 自然景觀",35000 - 39999,無
389,8200f498-eb19-423c-a3f9-8ce91e63f15d,"濱海灣花園, 黑風洞",豪華,20000 - 24999,無
390,820d6f58-c060-4425-84b8-f002a9147efa,"伊斯坦堡, 佛羅倫斯, 劍橋, 哈修塔特, 土耳其, 大英博物館, 天鵝堡, 奧捷, 威尼斯, 尼斯, 巴黎, 布拉格, 庫倫洛夫, 德國, 德瑞, 比利時, 牛津, 瑞士, 米蘭, 維也納, 羅曼蒂克大道, 羅浮宮, 羅馬, 義大, 義大利, 英國, 英荷比法, 萊茵河, 鐘樓","夜間活動, 婚禮蜜月, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 豪華, 購物",70000 - 74999,"新加, 歐洲, 歐洲一口, 歐洲一口假, 英"
391,824896d1-d059-431a-aaf0-f63e406aa4ca,"海地獄, 湯布院, 金鱗湖, 高雄","溫泉之旅, 火車旅遊, 自然景觀, 豪華",35000 - 39999,無
392,826390a6-6188-4767-be55-e015b444d2c0,"京都, 六甲山, 大阪, 大阪城, 奈良, 心齋橋, 有馬溫泉, 海遊館, 湯布院, 環球影城, 金閣寺, 金鱗湖, 高雄","主題樂園, 其他, 文化歷史, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊, 豪華, 雪景",45000 - 49999,無
393,828572a6-4729-4d0f-8ebd-adcd6e0a539d,"中尊寺, 仙台, 奧入瀨溪流, 富士, 山形, 東京, 田澤湖, 秋田, 美術館, 花卷溫泉, 角館, 銀山, 銀山溫泉街","文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 藝文體驗, 親子旅遊, 豪華, 雪景",50000 - 54999,"北陸名古屋, 東京, 東北"
394,828b1120-30f2-4f88-a243-67d9ab94243c,"仙台, 青森",雪景,65000 - 69999,無
395,82ab3c14-dc5a-40f4-968b-4a2dbe28f948,"德瑞, 萊茵河, 藍湖",自然景觀,95000 - 99999,瑞士
396,82cd02e1-4024-41f0-91de-ccc06f61e9f7,"埃及, 尼羅河, 紅海, 金字塔, 阿布辛貝","文化歷史, 豪華",80000 - 84999,無
397,82ffd005-cacd-400a-afbf-2747633748b1,高雄,其他,無資料,曼谷
398,8320aef7-c607-4341-a809-979700eb0e17,"匈牙利, 哈修塔特, 國王湖, 多瑙河, 奧捷, 少女峰, 布拉格, 庫倫洛夫, 德瑞, 維也納, 馬特宏峰","文化歷史, 火車旅遊, 自然景觀, 豪華",105000 - 109999,"奧地利, 德瑞"
399,83520b1c-dd6f-40d3-a268-3f0a49491838,"海雲台, 西面, 釜山","主題樂園, 海島旅遊, 火車旅遊, 自然景觀, 藝文體驗, 購物",20000 - 24999,韓國全選
400,83e7d085-9a0a-4d49-ba04-29ff5ad8da76,東京,其他,0 - 4999,無
401,844b0951-871c-404c-a3f8-27e2ea0db966,"宇治, 宇治茶, 平等院, 有馬溫泉","文化歷史, 溫泉之旅, 自然景觀",35000 - 39999,無
402,848f14b2-4e9e-4e50-b931-4c2fc2a7995b,義大,其他,0 - 4999,無
403,84a2ff59-7b0c-4b53-99d7-244a054ab25f,"藍廟, 鐘樓","自然景觀, 購物",25000 - 29999,泰國全選
404,852afc54-1bc6-4919-bed3-5cc5e237a5a9,"吉隆坡, 高雄",其他,0 - 4999,無
405,85411528-e58c-46c6-850f-b3f3a0318cff,"湯布院, 金鱗湖, 高雄","文化歷史, 溫泉之旅, 火車旅遊, 自然景觀",35000 - 39999,無
406,85747c17-3300-4fa2-92e0-8411568f902a,"屏東, 臺東",火車旅遊,0 - 4999,無
407,8643a403-89a1-41f2-b01a-95de538dab52,"台中, 香港",其他,5000 - 9999,香港-HONGKONG(HKG)
408,868e9030-4c2e-492d-b8fe-21a0d90be82f,"國際通, 沖繩, 美麗海水族館, 高雄","海島旅遊, 親子旅遊, 購物",25000 - 29999,無
409,869af8bf-d863-4f96-a691-381e6ec7f472,"台北, 東京",其他,15000 - 19999,"東京-TOKYO(TYO), 東京-TYO"
410,86a46658-0704-4a05-9dcb-5e0d4f320f04,"函館, 北海道, 小樽, 熊牧場","溫泉之旅, 美食, 自然景觀",30000 - 34999,無
411,86e7da08-94ea-4115-9a59-9b09c35f7a70,"台中, 金門",其他,5000 - 9999,無
412,8709acb1-442b-4712-a13e-fd55fed3aa79,"卡帕多奇亞, 土耳其, 棉花堡",文化歷史,40000 - 44999,無
413,8720fc54-20f4-4720-9182-db09a42a877e,"台中, 高美, 高美濕地",其他,0 - 4999,無
414,87a81192-fc76-4ba3-bdfd-a682ba8facec,"富士, 富士五湖, 東京, 箱根, 西湖","主題樂園, 文化歷史, 海島旅遊, 溫泉之旅, 自然景觀",65000 - 69999,日光
415,87d618d4-1c02-4af3-a65c-e49cc07777a0,"台北, 首爾",其他,5000 - 9999,首爾-SEOUL(SEL)
416,880cc16c-035f-4df9-9c5e-717bcd9ef15c,台北,其他,5000 - 9999,無
417,8839f64e-0883-4a2c-9353-851a034a69de,"九族, 九族文化村, 京都, 八卦山, 台中, 塗鴉秀, 大阪, 彰化, 新加坡, 明洞, 海雲台, 清境農場, 澎湖, 澳門, 環球影城, 美術館, 苗栗, 跨海大橋, 釜山, 釜山水族館, 雙心石滬, 雲林, 首爾","主題樂園, 其他, 夜間活動, 文化歷史, 海島旅遊, 火車旅遊, 美食, 自然景觀, 藝文體驗, 親子旅遊, 購物",15000 - 19999,"中秋, 雙十"
418,88aed6c5-7f78-4300-b94b-b3803b3589a8,"仙台, 美術館","海島旅遊, 美食, 藝文體驗, 親子旅遊",45000 - 49999,日本
419,8a387fcc-db2b-483c-81c4-080e04cbabbf,"大鵬灣, 金門","美食, 購物",5000 - 9999,無
420,8a73f5c6-535d-4b02-96c6-6987255e14ff,"台中, 台北, 宜蘭, 彰化, 新北, 桃園, 澎湖, 王功漁港, 苗栗","其他, 海島旅遊, 火車旅遊, 美食, 自然景觀, 藝文體驗, 豪華",0 - 4999,無
421,8afc6b20-038c-4d25-b994-568be298afac,"七星潭, 北海坑道, 北竿, 台中, 台北, 太平山, 媽祖巨神像, 宜蘭, 審計新村, 小琉球, 彰化, 新北, 新竹, 日月潭, 桃園, 梅花湖, 海洋公園, 澎湖, 綠島, 美食街, 花蓮, 苗栗, 金門, 雙心石滬, 高美, 高美濕地, 高雄, 鹿港","主題樂園, 其他, 夜間活動, 婚禮蜜月, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 網美打卡, 美食, 自然景觀, 藝文體驗, 親子旅遊, 豪華",5000 - 9999,"一日遊, 台灣全部"
422,8b05afa6-5b19-455a-ae9e-fd0eb599c8e3,青森,雪景,65000 - 69999,青森滑雪
423,8b4da381-d01e-4aa7-9280-e1ec340f712e,花蓮,自然景觀,20000 - 24999,無
424,8b896e49-3954-4aac-ac68-24355977623c,"北投溫泉, 台中, 嘉義, 基隆, 情人湖, 新北, 花蓮, 西班牙, 觀音寺, 高雄, 鯉魚潭","文化歷史, 溫泉之旅, 美食, 自然景觀, 豪華, 購物",0 - 4999,無
425,8c355a58-3798-4260-95dc-107ef7459a08,"富士, 東京, 河口湖","溫泉之旅, 美食, 自然景觀",40000 - 44999,無
426,8c8b240f-6560-418c-b22f-364a1e021b37,"函館, 北海道, 夜景, 旭山動物園, 熊牧場","夜間活動, 溫泉之旅, 美食, 自然景觀, 親子旅遊",50000 - 54999,"北海道, 東京"
427,8cbeede6-f650-447b-81b7-584846e0e04b,"台北, 新加坡",其他,10000 - 14999,無
428,8cd21fd3-f957-4d44-8e99-51cad253d3f7,"台北, 國際通, 沖繩, 那霸",其他,0 - 4999,無
429,8d825f34-0e61-450b-8e1b-11e252a103fd,"台北, 新加坡",其他,10000 - 14999,"新加坡-SINGAPORE(SIN), 曼谷-BANGKOK(BKK)"
430,8dee2623-7f5c-46af-95b1-8731dce85475,"台北, 東京",其他,5000 - 9999,東京-TOKYO(TYO)
431,8ea174e5-0eeb-4276-9e52-9269a5c6d187,"明洞, 景福宮, 釜山, 首爾","火車旅遊, 自然景觀, 豪華, 購物",30000 - 34999,無
432,8ee6f200-de2b-446c-b7ae-6dee095491d0,城山日出峰,"自然景觀, 藝文體驗",20000 - 24999,無
433,8ef1725e-6ffb-4024-96f3-6897e9db0aeb,台中,自然景觀,0 - 4999,無
434,8f5d0c8f-3df9-449d-9754-f9755cd92f01,"台中, 台北, 新竹, 桃園, 花蓮","火車旅遊, 自然景觀",5000 - 9999,澳門
435,8f8dbe20-7057-4b4f-9b24-3413ed22907d,"匈牙利, 國王湖, 夜景, 奧捷, 巴塞隆納, 德瑞, 格拉納達, 羅曼蒂克大道, 美術館, 萊茵河, 西班牙, 風車村","夜間活動, 文化歷史, 火車旅遊, 自然景觀, 藝文體驗, 豪華, 購物",90000 - 94999,無
436,8fb9d5d2-d330-4abf-a47d-b552dfc506cf,台北,其他,5000 - 9999,曼谷-BANGKOK(BKK)
437,8fceda66-3a06-44a6-80d8-fee9fecb870c,"沖繩, 跨海大橋","文化歷史, 豪華",30000 - 34999,無
438,8fd51fa8-4fe3-42d9-b749-6e8748dfc156,"升旗山, 吉隆坡, 馬六甲, 高雄","主題樂園, 其他, 文化歷史, 美食, 自然景觀, 豪華",20000 - 24999,馬來西亞
439,9066870e-90c8-4887-9bb6-34f83fb370d8,歌劇院,"婚禮蜜月, 海島旅遊, 美食, 自然景觀, 藝文體驗, 親子旅遊, 豪華",40000 - 44999,"大洋洲全選, 關島"
440,9069ff03-51a1-4a9c-bc18-538d03984a6b,"富士, 峽灣","戶外活動, 海島旅遊, 火車旅遊, 自然景觀, 豪華",110000 - 114999,無
441,90bd69da-1598-4581-9037-9cc5558833fd,"台北, 首爾",其他,5000 - 9999,"首爾, 首爾-SEOUL(SEL)"
442,90d3c99e-6ee3-4482-8d51-c3172c9d2be4,"布魯日, 羊角村, 花蓮","其他, 美食",80000 - 84999,"紐西蘭, 西歐"
443,917def1d-4685-4489-ba8c-f2464b4bb100,台北,其他,0 - 4999,無
444,923d5850-1767-4234-aa8e-f15985142b59,"哈修塔特, 布達佩斯, 維也納","婚禮蜜月, 自然景觀",105000 - 109999,無
445,9248a39a-3195-4a9c-ac17-eaef06a7e4b4,"嘉義, 杉林溪, 阿里山, 高雄",自然景觀,0 - 4999,無
446,9268f100-87b7-466f-a379-66c338e09a26,"嘉義, 奮起湖, 阿里山, 高雄","其他, 文化歷史, 火車旅遊, 自然景觀, 豪華",20000 - 24999,無
447,9282887b-4766-4c34-9b80-93ac88d6646e,東京,主題樂園,20000 - 24999,無
448,92900d1b-cc17-44c3-9853-bdb03a1b6247,"大阪, 高雄","溫泉之旅, 美食, 自然景觀",45000 - 49999,白川鄉 點燈
449,9299ee76-45ba-436b-b37e-097e061e93a3,"沖繩, 石垣島, 釜山, 長崎","海島旅遊, 自然景觀",0 - 4999,"郵輪 sim, 酷遊卡"
450,92ee076b-e33c-4255-bce1-3c8751101b9b,"法國, 羅浮宮","自然景觀, 購物",75000 - 79999,無
451,937a27cb-06b6-4327-9c28-f8d0dff25f4f,"威尼斯, 尼斯, 米蘭, 羅馬, 義大, 義大利",婚禮蜜月,95000 - 99999,無
452,93b66041-1f13-41db-91e0-128f712b1dd1,嘉義,"自然景觀, 豪華",0 - 4999,無
453,94254074-f17a-413d-ae17-b65031964770,東京,其他,5000 - 9999,日本
454,95692c67-ec45-4a60-903f-6d8e661282fc,"東方明珠, 田子坊, 豫園, 釜山, 香港, 高雄","其他, 文化歷史, 自然景觀",0 - 4999,無
455,9577cb02-6942-4369-b951-016741339102,"上野公園, 東京",購物,15000 - 19999,無
456,95f7ebfd-fb99-40fd-b538-2211f0dd0973,"函館, 北海道, 夜景, 小樽, 旭山動物園","夜間活動, 婚禮蜜月, 溫泉之旅, 美食, 自然景觀, 親子旅遊",90000 - 94999,北海道
457,9624ed5a-47f0-4b33-b925-ede6d449cfa4,台中,其他,20000 - 24999,"上海-SHANGHAI(SHA), 台中出發, 吉隆坡-KualaLumpur(KUL), 名古屋-愛知縣-NAGOYA(NGO), 沖繩-OKINAWA(OKA), 胡志明市-HO CHI MINH(SGN)"
458,9641fc8b-a735-49a1-965f-6b99ad13664a,馬六甲,"文化歷史, 豪華",40000 - 44999,nishitetsu hotel Croom Bangkok silom
